id,category,question,optionA,optionB,optionC,optionD,correctAnswer,explanation,level
91,Technology,What does USB stand for?,Universal Serial Bus,United System Bus,Universal System Bus,United Serial Bus,A,USB stands for Universal Serial Bus,Medium
93,Science,What is the term for animals that eat both plants and meat?,Herbivore,Carnivore,Omnivore,Insectivore,C,Omnivores eat both plant and animal matter,Medium
94,Math,What is the sum of the first 10 positive integers?,45,50,55,60,C,The sum of 1+2+3+...+10 = 55,Medium
98,Animals,What is the fastest land animal?,Cheetah,Lion,Leopard,Jaguar,A,The cheetah is the fastest land animal reaching speeds up to 70 mph,Medium
99,Science,What is the chemical formula for methane?,CH4,C2H6,C3H8,C4H10,A,Methane has the chemical formula CH4,Medium
100,Sports,In which sport is the Stanley Cup awarded?,Basketball,Football,Hockey,Baseball,C,The Stanley Cup is awarded to the NHL hockey champion,Medium
102,Math,What is the volume of a cube with side length 3?,9,18,27,36,C,Volume of a cube is s³ so 3³ = 27,Medium
103,Science,What is the study of fungi called?,Botany,Mycology,Zoology,Ecology,B,Mycology is the branch of biology that studies fungi,Medium
104,Technology,What does PDF stand for?,Portable Document Format,Personal Document Format,Public Document Format,Protected Document Format,A,PDF stands for Portable Document Format,Medium
105,Art,"Who painted ""The Persistence of Memory""?",Pablo Picasso,Salvador Dali,René Magritte,Max Ernst,B,Salvador Dali painted The Persistence of Memory in 1931,Medium
106,Science,What is the name of the theory that explains the origin of the universe?,Big Bang Theory,Steady State Theory,Inflation Theory,String Theory,A,The Big Bang Theory is the prevailing cosmological model,Hard
107,Math,What is the Taylor series expansion of e^x around x=0?,1+x+x²/2!+x³/3!+...,x+x²+x³+...,1+x+x²+x³+...,x+x²/2+x³/3+...,A,The Taylor series for e^x is 1+x+x²/2!+x³/3!+...,Hard
110,Science,What is the name of the process by which DNA makes a copy of itself?,Transcription,Translation,Replication,Transformation,C,DNA replication is the process by which DNA copies itself,Hard
112,Math,What is the chromatic number of a complete graph with n vertices?,n-1,n,n+1,2n,B,The chromatic number of a complete graph Kn is n,Hard
113,Science,What is the name of the boundary layer in the atmosphere?,Troposphere,Stratosphere,Mesosphere,Thermosphere,A,The troposphere is the lowest layer of Earth's atmosphere,Hard
114,Technology,What does API stand for?,Application Programming Interface,Automated Programming Interface,Advanced Programming Interface,Applied Programming Interface,A,API stands for Application Programming Interface,Hard
115,Art,Which art movement emphasized emotional expression over realistic representation?,Realism,Impressionism,Expressionism,Cubism,C,Expressionism focused on emotional expression rather than realistic depiction,Hard
117,Science,What is the name of the particle that mediates the strong nuclear force?,Photon,Gluon,W boson,Z boson,B,Gluons are the force carriers of the strong nuclear force,Hard
118,Math,What is the determinant of a 2x2 matrix [[a b] [c d]]?,ad-bc,ac-bd,ab-cd,ad+bc,A,The determinant of a 2x2 matrix is ad-bc,Hard
122,Animals,What class do amphibians belong to?,Mammalia,Reptilia,Amphibia,Aves,C,Amphibians belong to the class Amphibia,Easy
123,Science,What is the chemical symbol for iron?,Ir,Fe,In,Fr,B,Iron has the chemical symbol Fe from the Latin word ferrum,Easy
124,Sports,How many points is a touchdown worth in American football?,5,6,7,8,B,A touchdown is worth 6 points in American football,Easy
126,Math,What is 15 × 4?,45,50,55,60,D,15 multiplied by 4 equals 60,Easy
129,Science,What is the boiling point of water at sea level?,90°C,95°C,100°C,105°C,C,Water boils at 100°C (212°F) at sea level,Easy
130,Art,"Who painted ""The Last Supper""?",Michelangelo,Leonardo da Vinci,Raphael,Donatello,B,Leonardo da Vinci painted The Last Supper between 1495 and 1498,Easy
131,Technology,What does RAM stand for?,Random Access Memory,Rapid Access Memory,Read Access Memory,Real Access Memory,A,RAM stands for Random Access Memory,Medium
133,Science,What is the study of weather called?,Geology,Meteorology,Climatology,Astronomy,B,Meteorology is the study of weather and atmospheric conditions,Medium
134,Math,What is the slope of a line passing through points (2,3) and (4,7)?,1,2,3,4,B
138,Animals,What is the gestation period of an elephant?,12 months,18 months,22 months,24 months,C,Elephants have a gestation period of about 22 months,Medium
139,Science,What is the atomic number of oxygen?,6,7,8,9,C,Oxygen has an atomic number of 8,Medium
140,Sports,"In tennis what does the term ""love"" mean?",Zero,One,Two,Three,A,In tennis scoring love means zero points,Medium
142,Math,What is the circumference of a circle with radius 7?,7π,14π,21π,49π,B,Circumference = 2πr = 2π(7) = 14π,Medium
143,Science,What is the name of the process where plants make their own food?,Respiration,Photosynthesis,Transpiration,Fertilization,B,Photosynthesis is the process where plants make food using sunlight,Medium
144,Technology,What does GPS stand for?,Global Positioning System,General Positioning System,Global Position System,Geographic Positioning System,A,GPS stands for Global Positioning System,Medium
145,Art,"Which artist painted ""Girl with a Pearl Earring""?",Jan Vermeer,Rembrandt,Van Gogh,Monet,A,Johannes Vermeer painted Girl with a Pearl Earring around 1665,Medium
147,Science,What is the name of the effect where light bends around massive objects?,Doppler Effect,Photoelectric Effect,Gravitational Lensing,Compton Effect,C,Gravitational lensing is the bending of light around massive objects,Hard
148,Math,What is the complex conjugate of 3+4i?,3-4i,3+4i,-3-4i,-3+4i,A,The complex conjugate of a+bi is a-bi so 3+4i becomes 3-4i,Hard
151,Science,What is the most abundant element in the universe?,Hydrogen,Helium,Carbon,Oxygen,A,Hydrogen makes up about 75% of the observable universe's mass,Easy
152,Math,What is 3 × 3 × 3?,9,18,27,36,C,3 cubed (3³) equals 27,Easy
155,Science,What type of animal is a penguin?,Mammal,Bird,Reptile,Fish,B,Penguins are flightless birds that live in cold climates,Easy
157,Sports,How many strikes make a perfect game in bowling?,10,11,12,13,C,A perfect game in bowling consists of 12 consecutive strikes,Easy
159,Animals,What type of reproduction do seahorses exhibit?,Oviparous,Viviparous,Ovoviviparous,Parthenogenesis,C,Seahorses are ovoviviparous with males carrying eggs,Easy
160,Science,What is the symbol for sodium on the periodic table?,So,Sd,Na,S,C,Sodium has the symbol Na from the Latin word natrium,Easy
161,Technology,What does Wi-Fi stand for?,Wireless Fidelity,Wide Fidelity,Web Fidelity,Wired Fidelity,A,Wi-Fi stands for Wireless Fidelity,Medium
162,Math,What is the area of a rectangle with length 8 and width 5?,13,35,40,45,C,Area of rectangle = length × width = 8 × 5 = 40,Medium
163,Science,What is the study of insects called?,Entomology,Ornithology,Herpetology,Ichthyology,A,Entomology is the scientific study of insects,Medium
167,Art,"Which artist painted ""The Scream""?",Vincent van Gogh,Pablo Picasso,Edvard Munch,Claude Monet,C,Edvard Munch painted The Scream in 1893,Medium
169,Science,What is the chemical formula for carbon dioxide?,CO,CO2,C2O,C2O2,B,Carbon dioxide has the chemical formula CO2,Medium
170,Sports,How many periods are in a hockey game?,2,3,4,5,B,A hockey game consists of three periods,Medium
172,Animals,What is the fastest marine animal?,Dolphin,Shark,Sailfish,Tuna,C,The sailfish is the fastest marine animal reaching speeds up to 68 mph,Medium
173,Math,What is 2⁴?,8,12,16,20,C,2 to the power of 4 equals 16,Medium
174,Science,What is the hardest bone in the human body?,Femur,Skull,Jawbone,Tibia,C,The jawbone (mandible) is the hardest bone in the human body,Medium
175,Technology,What does HTTP stand for?,HyperText Transfer Protocol,High Transfer Text Protocol,HyperText Transport Protocol,High Text Transfer Protocol,A,HTTP stands for HyperText Transfer Protocol,Medium
179,Art,What art movement was Claude Monet associated with?,Cubism,Impressionism,Expressionism,Surrealism,B,Claude Monet was a founder of French Impressionist painting,Medium
181,Science,What is the phenomenon where light changes direction when passing through different media?,Reflection,Refraction,Diffraction,Interference,B,Refraction is the bending of light as it passes through different media,Hard
182,Math,What is the sum of an infinite geometric series with first term a and ratio r where |r| < 1?,a/(1-r),a/(1+r),a(1-r),a(1+r),A,The sum of an infinite geometric series is a/(1-r) when |r| < 1,Hard
184,Science,What is the name of the process where unstable atomic nuclei release energy?,Fusion,Fission,Radioactive decay,Ionization,C,Radioactive decay is the process where unstable nuclei release energy,Hard
187,Math,What is the eigenvalue of the matrix [[3 1] [0 3]]?,1,2,3,4,C,The eigenvalues of this upper triangular matrix are the diagonal entries: 3,Hard
188,Science,What is the name of the theoretical particle that gives mass to other particles?,Boson,Higgs boson,Lepton,Quark,B,The Higgs boson is theorized to give mass to other particles,Hard
189,Art,"Who sculpted ""The Thinker""?",Michelangelo,Auguste Rodin,Donatello,Bernini,B,Auguste Rodin sculpted The Thinker originally in 1880,Hard
191,Technology,What does HTTPS stand for?,HyperText Transfer Protocol Secure,High Transfer Text Protocol Secure,HyperText Transport Protocol Secure,HyperText Transfer Protocol Standard,A,HTTPS stands for HyperText Transfer Protocol Secure,Hard
194,Science,What is the name of the effect where particles can exist in multiple states simultaneously?,Superposition,Entanglement,Uncertainty,Tunneling,A,Quantum superposition allows particles to exist in multiple states at once,Hard
196,Math,What is the Laplace transform of sin(at)?,a/(s²+a²),s/(s²+a²),1/(s²+a²),a²/(s²+a²),A,The Laplace transform of sin(at) is a/(s²+a²),Hard
197,Science,What is the name of the boundary between the Earth's crust and mantle?,Moho,Conrad discontinuity,Gutenberg discontinuity,Lehmann discontinuity,A,The Mohorovičić discontinuity (Moho) separates crust and mantle,Hard
198,Art,Which art movement did Jackson Pollock belong to?,Cubism,Surrealism,Abstract Expressionism,Pop Art,C,Jackson Pollock was a major figure in Abstract Expressionism,Hard
202,Animals,What is the only mammal that can fly?,Bat,Flying squirrel,Sugar glider,Flying lemur,A,Bats are the only mammals capable of true sustained flight,Easy
203,Science,What gas makes up most of the air we breathe?,Oxygen,Carbon dioxide,Nitrogen,Argon,C,Nitrogen makes up about 78% of the air we breathe,Easy
204,Math,What is 100 ÷ 4?,20,25,30,35,B,100 divided by 4 equals 25,Easy
208,Sports,How many innings are in a standard baseball game?,7,8,9,10,C,A standard baseball game has nine innings,Easy
209,Science,What is the closest planet to the Sun?,Mercury,Venus,Earth,Mars,A,Mercury is the closest planet to the Sun,Easy
210,Art,Which color is created by mixing red and blue?,Purple,Green,Orange,Yellow,A,Red and blue combine to make purple,Easy
212,Technology,What does the acronym PC stand for?,Personal Computer,Public Computer,Private Computer,Portable Computer,A,PC stands for Personal Computer,Easy
214,Animals,What is the tallest animal in the world?,Elephant,Giraffe,Ostrich,Moose,B,The giraffe is the tallest animal in the world,Easy
215,Science,What is the chemical symbol for silver?,Si,Ag,Sl,Sr,B,Silver has the chemical symbol Ag from the Latin word argentum,Easy
216,Math,What is 6 × 7?,35,40,42,49,C,6 multiplied by 7 equals 42,Easy
220,Sports,What is the maximum score possible with one dart throw?,15,20,25,30,B,The maximum score with one dart is 20 on the triple 20 section,Easy
221,Science,What is the study of stars and planets called?,Geology,Biology,Astronomy,Meteorology,C,Astronomy is the study of celestial objects and phenomena,Medium
222,Math,What is the perimeter of a square with side length 6?,18,20,24,30,C,Perimeter of square = 4 × side length = 4 × 6 = 24,Medium
224,Science,What is the process called when a caterpillar becomes a butterfly?,Evolution,Metamorphosis,Adaptation,Mutation,B,Metamorphosis is the process of transformation from caterpillar to butterfly,Medium
227,Art,"Which artist painted ""Guernica""?",Salvador Dali,Pablo Picasso,Joan Miró,Francisco Goya,B,Pablo Picasso painted Guernica in 1937,Medium
229,Science,What is the pH scale used to measure?,Temperature,Pressure,Acidity,Density,C,The pH scale measures the acidity or alkalinity of a solution,Medium
230,Sports,How many points is a field goal worth in American football?,1,2,3,6,C,A field goal is worth 3 points in American football,Medium
232,Animals,What is a baby kangaroo called?,Cub,Calf,Joey,Kit,C,A baby kangaroo is called a joey,Medium
233,Math,What is 20% of 150?,25,30,35,40,B,20% of 150 = 0.20 × 150 = 30,Medium
234,Science,What organelle is responsible for protein folding quality control?,Ribosome,Endoplasmic reticulum,Golgi apparatus,Lysosome,B,The ER has chaperones that ensure proper protein folding,Medium
235,Technology,What does DVD stand for?,Digital Video Disc,Digital Versatile Disc,Both A and B,Digital Visual Disc,C,DVD can stand for either Digital Video Disc or Digital Versatile Disc,Medium
239,Art,What type of art is Auguste Rodin famous for?,Painting,Sculpture,Architecture,Photography,B,Auguste Rodin was a famous French sculptor,Medium
241,Science,What is the name of the galaxy that contains our solar system?,Andromeda,Milky Way,Whirlpool,Triangulum,B,Our solar system is located in the Milky Way galaxy,Medium
242,Math,What is the next number in the sequence: 2 4 8 16 32?,48,56,64,72,C,This is a geometric sequence where each term doubles: 32 × 2 = 64,Medium
243,Science,What is the process where plants release water vapor through their leaves?,Photosynthesis,Respiration,Transpiration,Germination,C,Transpiration is the process of water vapor release from plant leaves,Medium
244,Technology,What does URL stand for?,Uniform Resource Locator,Universal Resource Locator,Uniform Reference Locator,Universal Reference Locator,A,URL stands for Uniform Resource Locator,Medium
248,Sports,In which sport would you perform a slam dunk?,Tennis,Basketball,Volleyball,Badminton,B,A slam dunk is performed in basketball,Medium
250,Animals,What is the only continent where penguins live naturally?,Antarctica,Arctic,Australia,South America,A,Penguins naturally live only in Antarctica and surrounding areas,Medium
251,Science,What is the name of the theoretical point where gravity becomes infinitely strong?,Singularity,Event horizon,Wormhole,Black hole,A,A singularity is a point where gravitational forces become infinite,Hard
252,Math,What is the curl of a conservative vector field?,Zero,One,Infinity,Undefined,A,The curl of a conservative vector field is always zero,Hard
254,Science,What is the name of the process where light creates electron-hole pairs in semiconductors?,Photoelectric effect,Photovoltaic effect,Photoemission,Photoconductivity,B,The photovoltaic effect describes light creating electron-hole pairs in semiconductors,Hard
257,Math,What is the Fourier transform of a Gaussian function?,Another Gaussian,Sinc function,Delta function,Exponential function,A,The Fourier transform of a Gaussian function is another Gaussian,Hard
258,Science,What is the name of the effect where time dilates in strong gravitational fields?,Special relativity,General relativity,Gravitational time dilation,Lorentz transformation,C,Gravitational time dilation occurs in strong gravitational fields,Hard
259,Art,"Who painted ""Las Meninas""?",Francisco Goya,Diego Velázquez,El Greco,Pablo Picasso,B,Diego Velázquez painted Las Meninas in 1656,Hard
261,Technology,What does SSL stand for?,Secure Sockets Layer,Secure Socket Layer,Security Socket Layer,Secure System Layer,A,SSL stands for Secure Sockets Layer,Hard
264,Science,What is the name of the boundary between the stratosphere and mesosphere?,Tropopause,Stratopause,Mesopause,Thermopause,B,The stratopause is the boundary between the stratosphere and mesosphere,Hard
266,Math,What is the dimension of the vector space of all 3×3 matrices?,6,8,9,12,C,The space of 3×3 matrices has dimension 9 (3×3 = 9 components),Hard
267,Science,What is the name of the particle that carries the electromagnetic force?,Photon,Gluon,W boson,Graviton,A,Photons are the force carriers of the electromagnetic force,Hard
268,Art,Which architectural style is characterized by pointed arches and flying buttresses?,Romanesque,Gothic,Baroque,Renaissance,B,Gothic architecture features pointed arches and flying buttresses,Hard
272,Science,What is the name of the process where heavy atomic nuclei split into lighter ones?,Nuclear fusion,Nuclear fission,Radioactive decay,Beta decay,B,Nuclear fission is the splitting of heavy atomic nuclei into lighter ones,Hard
274,Math,What is the solution to the differential equation dy/dx = y?,y = e^x + C,y = Ce^x,y = x + C,y = Cx,B,The solution to dy/dx = y is y = Ce^x,Hard
275,Science,What is the name of the theoretical framework that unifies quantum mechanics and general relativity?,String theory,Loop quantum gravity,M-theory,Theory of everything,A,String theory attempts to unify quantum mechanics and general relativity,Hard
276,Art,Who designed the Guggenheim Museum in New York?,Frank Lloyd Wright,Le Corbusier,Mies van der Rohe,Frank Gehry,A,Frank Lloyd Wright designed the Guggenheim Museum in New York,Hard
280,Science,What is the name of the theoretical particle that mediates gravity?,Graviton,Higgs boson,Photon,Gluon,A,The graviton is the theoretical particle that mediates gravitational force,Hard
282,Math,What is the characteristic polynomial of the matrix [[1 2] [3 4]]?,λ²-5λ-2,λ²-5λ+2,λ²+5λ-2,λ²+5λ+2,A,The characteristic polynomial is det(A-λI) = λ²-5λ-2,Hard
283,Science,What is the name of the region around a black hole where space and time are severely distorted?,Photon sphere,Ergosphere,Event horizon,Schwarzschild radius,B,The ergosphere is the region where spacetime is dragged around a rotating black hole,Hard
284,Art,"Which artist created the sculpture ""Bird in Space""?",Henry Moore,Alberto Giacometti,Constantin Brâncuși,Alexander Calder,C,Constantin Brâncuși created the sculpture Bird in Space,Hard
288,Science,What is the name of the effect where particles tunnel through energy barriers?,Quantum tunneling,Wave-particle duality,Uncertainty principle,Quantum entanglement,A,Quantum tunneling allows particles to pass through energy barriers,Hard
290,Math,What is the genus of a torus?,0,1,2,3,B,A torus has genus 1 (one hole),Hard
291,Science,What is the name of the boundary between the Earth's outer core and inner core?,Gutenberg discontinuity,Mohorovičić discontinuity,Lehmann discontinuity,Conrad discontinuity,C,The Lehmann discontinuity separates the outer and inner core,Hard
292,Art,"Who painted ""The Birth of Venus""?",Leonardo da Vinci,Michelangelo,Sandro Botticelli,Raphael,C,Sandro Botticelli painted The Birth of Venus around 1485,Hard
296,Science,What is the name of the theoretical minimum temperature?,Absolute zero,Kelvin zero,Thermal equilibrium,Critical point,A,Absolute zero is the theoretical minimum temperature at 0 Kelvin,Hard
298,Math,What is the Hausdorff dimension of the Cantor set?,0,1,log(2)/log(3),2,C,The Hausdorff dimension of the Cantor set is log(2)/log(3),Hard
299,Science,What is the name of the effect where light is bent by the gravitational field of massive objects?,Gravitational lensing,Redshift,Blueshift,Parallax,A,Gravitational lensing is the bending of light by massive objects,Hard
300,Art,Who designed the Sydney Opera House?,Frank Lloyd Wright,Le Corbusier,Jørn Utzon,Frank Gehry,C,Jørn Utzon designed the Sydney Opera House,Hard
301,Technology,What programming language is known for its use in web development and was created by Brendan Eich?,Python,JavaScript,Ruby,PHP,B,JavaScript was created by Brendan Eich in 1995 and is essential for web development,Easy
302,Science,What is the speed of light in a vacuum?,186000 miles per second,299792 kilometers per second,300000 kilometers per second,186282 miles per second,D,The speed of light in vacuum is approximately 186282 miles per second or 299792458 meters per second,Medium
304,Math,What is the derivative of x²?,x,2x,x²,2,B,The derivative of x² with respect to x is 2x using the power rule,Easy
306,Technology,What does API stand for?,Advanced Programming Interface,Application Programming Interface,Automated Process Integration,Application Process Interface,B,API stands for Application Programming Interface which allows different software to communicate,Easy
307,Science,What is the powerhouse of the cell?,Nucleus,Ribosome,Mitochondria,Golgi apparatus,C,Mitochondria generate most of the cell's ATP energy supply,Easy
308,Sports,How many players are on a basketball court per team during play?,4,5,6,7,B,Basketball is played with 5 players per team on the court,Easy
310,Technology,What year was TikTok internationally launched?,2016,2017,2018,2019,C,TikTok was launched internationally in 2018 after merging with Musical.ly,Easy
311,Science,What is the chemical formula for table salt?,NaCl,KCl,CaCl₂,MgCl₂,A,Table salt is sodium chloride with the formula NaCl,Easy
313,Math,What is i² in complex numbers?,-1,1,0,i,A,In complex numbers i is the imaginary unit where i² = -1,Medium
316,Technology,What does GPU stand for?,General Processing Unit,Graphics Processing Unit,Graphical Performance Unit,Gaming Processing Unit,B,GPU stands for Graphics Processing Unit used for rendering graphics,Easy
317,Science,What is the most abundant gas in Earth's atmosphere?,Oxygen,Carbon dioxide,Nitrogen,Argon,C,Nitrogen makes up about 78% of Earth's atmosphere,Easy
319,Math,What is the value of e (Euler's number) approximately?,2.618,2.718,3.142,1.618,B,Euler's number e is approximately 2.71828,Medium
321,Science,What does DNA stand for?,Deoxyribonucleic acid,Dioxyribonucleic acid,Deoxynucleic acid,Deoxyribose nucleic acid,A,DNA stands for Deoxyribonucleic acid which carries genetic information,Easy
323,Technology,What company owns Instagram?,Twitter,Meta,Google,Microsoft,B,Meta (formerly Facebook) acquired Instagram in 2012,Easy
324,Sports,How many points is a touchdown worth in American football?,3,6,7,9,B,A touchdown is worth 6 points in American football,Easy
326,Science,What is the pH of pure water at 25°C?,6,6.5,7,7.5,C,Pure water has a neutral pH of 7 at 25°C,Easy
328,Math,What is the sum of angles in a triangle?,90 degrees,180 degrees,270 degrees,360 degrees,B,The sum of all angles in any triangle is always 180 degrees,Easy
329,Technology,What does HTML stand for?,Hyper Text Markup Language,High Tech Modern Language,Hyper Transfer Markup Language,Home Tool Markup Language,A,HTML stands for Hyper Text Markup Language used for creating web pages,Easy
331,Science,What planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,B,Mars is called the Red Planet due to iron oxide on its surface,Easy
334,Math,What is 2 to the power of 10?,512,1024,2048,4096,B,2¹⁰ equals 1024,Easy
335,Technology,Which programming language is known for machine learning and data science?,JavaScript,Python,C++,Java,B,Python is the most popular language for machine learning and data science,Easy
336,Science,What is the smallest unit of matter?,Molecule,Atom,Quark,Electron,C,Quarks are the smallest known particles that make up protons and neutrons,Hard
338,Sports,How long is a marathon in miles?,20.1,22.5,26.2,30.0,C,A marathon is 26.2 miles or 42.195 kilometers,Easy
340,Technology,What year was the iPhone first released?,2005,2006,2007,2008,C,The first iPhone was released by Apple in 2007,Easy
