id,category,question,optionA,optionB,optionC,optionD,correctAnswer,explanation,level
18,Science,Dünya atmosferinde en bol bulunan gaz hangisidir?,Oksijen,Karbondioksit,Azot,Argon,C,"Azot, Dünya atmosferinin yaklaşık %78'ini oluşturur",Hard
19,Math,Dirac delta fonksiyonunun Fourier dönüşümü nedir?,0,1,Devamlı,Tanımsız,C,δ(t)'nin Fourier dönüşümü sabit bir fonksiyondur,Hard
20,Science,Katı bir maddenin doğrudan gaza dönüştüğü sürecin adı nedir?,Erime,Buharlaşma,Süblimasyon,Yoğunlaşma,C,"Süblimleşme, katıdan gaz fazına doğrudan geçiştir",Hard
21,Math,f(z)=1/(z²+1) denkleminin z=i noktasındaki kalıntısı nedir?,1/2,1/2i,-1/2i,i/2,C,z=i'deki basit kutuplar için kalıntı formülünü kullanarak,Hard
22,Science,Karbon-14'ün yarı ömrü nedir?,5730 yıl,1000 yıl,10000 yıl,50000 yıl,A,Karbon-14'ün yarı ömrü yaklaşık 5730 yıldır,Hard
23,Science,Oda sıcaklığında havadaki sesin hızı nedir?,343 m/s,300 m/s,400 m/s,500 m/s,A,"Ses, 20°C'de havada saniyede yaklaşık 343 metre hızla hareket eder",Hard
24,Math,Altıgenin açılarının toplamı kaçtır?,540°,720°,900°,1080°,B,Altıgenin iç açılarının toplamı 720°'dir,Hard
25,Art,"""Yıldızlı Gece"" tablosunu kim çizmiştir?",Pablo Picasso,Vincent van Gogh,Claude Monet,Salvador Dali,B,"Vincent van Gogh, Yıldızlı Gece tablosunu 1889'da yaptı",Easy
26,Technology,CPU ne anlama geliyor?,Merkezi İşlem Birimi,Bilgisayar Programlama Birimi,Merkezi Program Birimi,Bilgisayar İşlem Birimi,A,"CPU, Merkezi İşlem Birimi anlamına gelir",Easy
27,Animals,Deniz yıldızları ne tür bir simetriye sahiptir?,İkili,Radyal,Asimetrik,Küresel,B,Deniz yıldızlarının beş parçalı radyal simetrisi vardır,Easy
28,Science,Ribozomların hücrelerdeki temel işlevi nedir?,Protein sentezi,DNA replikasyonu,Enerji üretimi,Atık bertarafı,A,"Ribozomlar, protein sentezinden sorumlu hücresel yapılardır",Easy
29,Math,9² nedir?,72,81,90,99,B,9'un karesi (9²) 81'e eşittir,Easy
30,Science,Atomun merkezine ne ad verilir?,Elektron,Proton,Nötron,Çekirdek,D,"Çekirdek, proton ve nötronları içeren bir atomun yoğun merkezidir",Easy
31,Math,Yarıçapı 5 olan bir dairenin alanı nedir?,25π,10π,5π,π,A,"Bir dairenin alanı πr²'dir, yani yarıçapı 5 ise 25π'dir.",Medium
32,Science,Su moleküllerini bir arada tutan bağ türü nedir?,İyonik,Kovalent,Metalik,Hidrojen,D,Su molekülleri arasında polarite nedeniyle hidrojen bağları oluşur,Medium
33,Technology,WWW ne anlama geliyor?,Dünya çapında Ağ,Dünya Çapında Web,Geniş Dünya Ağı,Web Dünya Çapında,A,"WWW, World Wide Web'in kısaltmasıdır",Medium
34,Science,Hücre bölünme sürecine ne ad verilir?,Mitoz,Mayoz,Hem A hem de B,Ozmoz,C,"Hem mitoz hem de mayoz, hücre bölünmesinin bir türüdür",Medium
35,Math,3! (3 faktöriyel) nedir?,3,6,9,12,B,3! = 3 × 2 × 1 = 6,Medium
36,Art,Pablo Picasso hangi sanat akımının kurulmasına katkıda bulunmuştur?,İzlenimcilik,Kübizm,Gerçeküstücülük,Ekspresyonizm,B,"Pablo Picasso, Kübizm hareketinin kurucu ortaklarından biriydi",Medium
37,Science,Depremleri inceleyen bilim dalına ne ad verilir?,Jeoloji,Sismoloji,Meteoroloji,Volkanoloji,B,"Sismoloji, depremlerin bilimsel çalışmasıdır",Medium
38,Sports,Standart bir golf sahasında kaç delik vardır?,16,17,18,19,C,Standart bir golf sahasında 18 delik bulunur,Medium
39,Animals,Aslanlardan oluşan bir topluluğa ne ad verilir?,Ambalaj,Sürü,Gurur,Sürü,C,Aslanlardan oluşan bir gruba gurur denir,Medium
40,Technology,HTML ne anlama geliyor?,Hiper Metin İşaretleme Dili,Yüksek Teknoloji Modern Dil,Hipermetin Modern Dili,Yüksek Metin İşaretleme Dili,A,"HTML, HyperText Markup Language (Köprü Metni İşaretleme Dili) anlamına gelir",Medium
41,Science,Kuantum mekaniğinde süperpozisyonun ardındaki mekanizma nedir?,Dalga girişimi,Parçacık çarpışması,Olasılık genliği,Manyetik rezonans,C,Kuantum süperpozisyonu dalga fonksiyonlarındaki olasılık genliklerinden kaynaklanır,Hard
42,Math,x 0'a yaklaşırken sin(x)/x'in limiti nedir?,0,1,∞,tanımsız,B,x 0'a yaklaşırken sin(x)/x'in limiti 1'dir,Hard
43,Science,Kara deliğin etrafındaki teorik sınırın adı nedir?,Olay Ufku,Schwarzschild Yarıçapı,Foton Küresi,Ergosfer,A,"Olay ufku, kara delikten hiçbir şeyin kaçamayacağı sınırdır",Hard
44,Math,Fibonacci dizisinin 10. terimi nedir?,34,55,89,144,B,10. Fibonacci sayısı 55'tir (1 1 2 3 5 8 13 21 34 55),Hard
45,Science,Kanda oksijen taşıyan proteinin adı nedir?,Hemoglobin,Miyoglobin,Albümin,İnsülin,A,"Hemoglobin, kırmızı kan hücrelerinde oksijen taşıyan demir içeren bir proteindir",Hard
46,Art,Boyayı küçük ve belirgin noktalar halinde uygulamayı içeren sanatsal teknik hangisidir?,Sfumato,Işık-gölge oyunu,Puantilizm,Pasto,C,"Puantilizm, Georges Seurat tarafından geliştirilen küçük, belirgin renk noktalarını kullanır",Hard
47,Technology,SQL ne anlama geliyor?,Yapılandırılmış Sorgu Dili,Basit Sorgu Dili,Standart Sorgu Dili,Sistem Sorgu Dili,A,"SQL, Yapılandırılmış Sorgu Dili anlamına gelir",Hard
48,Science,Kimyasal bağlanmanın kuantum mekaniksel açıklaması nedir?,Moleküler orbital teorisi,Lewis yapıları,VSEPR teorisi,Hibridizasyon teorisi,A,"Moleküler orbital teorisi, bağlanmayı açıklamak için kuantum mekaniğini kullanır",Hard
49,Math,e^(iπ) + 1 neye eşittir?,0,1,e,π,A,Euler'in özdeşliği e^(iπ) + 1 = 0 olduğunu belirtir,Hard
50,Animals,Gerçek anlamda uçma yeteneğine sahip tek memeli hayvan hangisidir?,Sincap,Yarasa,Uçan Lemur,Şeker Planörü,B,"Yarasalar, sürekli uçuş yeteneğine sahip tek memelilerdir",Easy
51,Sports,Bir futbol takımında oyun sırasında kaç oyuncu bulunur?,9,10,11,12,C,Her futbol takımının oyun sırasında sahada 11 oyuncusu vardır,Easy
52,Science,Mohs ölçeğine göre en sert mineral hangisidir?,Talk,Kuvars,Topaz,Elmas,D,"Elmas, Mohs sertlik ölçeğinde 10 olarak derecelendirilir",Easy
53,Math,200'ün %50'si kaçtır?,50,75,100,150,C,200'ün %50'si 100'dür,Easy
54,Science,Maddenin en küçük birimi nedir?,Atom,Molekül,Proton,Elektron,A,"Atom, kimyasal özelliklerini koruyan en küçük madde birimidir",Easy
55,Art,Hangi renkler ana renklerdir?,Kırmızı Sarı Mavi,Kırmızı Yeşil Mavi,Mavi Sarı Turuncu,Yeşil Sarı Mor,A,"Kırmızı, sarı ve mavi geleneksel ana renklerdir",Easy
56,Technology,USB ne anlama geliyor?,Evrensel Seri Veri Yolu,Birleşik Sistem Otobüsü,Evrensel Sistem Veri Yolu,Birleşik Seri Otobüs,A,"USB, Evrensel Seri Veri Yolu anlamına gelir",Medium
57,Science,Hem ot hem et yiyen hayvanlara ne ad verilir?,Otçul,Etobur,Hepçil,Böcekçil,C,Hepçiller hem bitkisel hem de hayvansal maddeleri yerler,Medium
58,Math,İlk 10 pozitif tam sayının toplamı kaçtır?,45,50,55,60,C,1+2+3+...+10 = 55'in toplamı,Medium
59,Animals,En hızlı kara hayvanı hangisidir?,Çita,Aslan,Leopar,Jaguar,A,"Çita, saatte 70 mil hıza ulaşan en hızlı kara hayvanıdır",Medium
60,Science,Metanın kimyasal formülü nedir?,CH4,C2H6,C3H8,C4H10,A,Metanın kimyasal formülü CH4'tür,Medium
61,Sports,Stanley Kupası hangi spor dalında verilir?,Basketbol,Futbol,Hokey,Beyzbol,C,Stanley Kupası NHL hokey şampiyonuna verilir,Medium
62,Math,Kenar uzunluğu 3 olan bir küpün hacmi nedir?,9,18,27,36,C,Bir küpün hacmi s³ olduğundan 3³ = 27,Medium
63,Science,Mantarları inceleyen bilim dalına ne ad verilir?,Botanik,Mikoloji,Zooloji,Ekoloji,B,"Mikoloji, mantarları inceleyen biyoloji dalıdır",Medium
64,Technology,PDF ne anlama geliyor?,Taşınabilir Belge Biçimi,Kişisel Belge Formatı,Kamu Belgesi Formatı,Korunan Belge Biçimi,A,"PDF, Taşınabilir Belge Biçimi anlamına gelir",Medium
65,Art,"""Belleğin Azmi"" tablosunu kim çizmiştir?",Pablo Picasso,Salvador Dali,René Magritte,Max Ernst,B,"Salvador Dali, 1931 yılında Belleğin Azmi adlı tablosunu çizdi",Medium
66,Science,Evrenin oluşumunu açıklayan teorinin adı nedir?,Büyük Patlama Teorisi,Sabit Durum Teorisi,Enflasyon Teorisi,Sicim Teorisi,A,"Büyük Patlama Teorisi, hakim kozmolojik modeldir",Hard
67,Math,e^x'in x=0 etrafındaki Taylor serisi açılımı nedir?,1+x+x²/2!+x³/3!+...,x+x²+x³+...,1+x+x²+x³+...,x+x²/2+x³/3+...,A,e^x için Taylor serisi 1+x+x²/2!+x³/3!+... şeklindedir.,Hard
68,Science,DNA'nın kendi kopyasını oluşturma sürecine ne ad verilir?,Transkripsiyon,Çeviri,Çoğaltma,Dönüşüm,C,"DNA replikasyonu, DNA'nın kendini kopyalama sürecidir",Hard
69,Math,n köşeli tam bir grafiğin kromatik sayısı nedir?,n-1,N,n+1,2n,B,Tam bir grafiğin kromatik sayısı Kn'dir,Hard
70,Science,Atmosferdeki sınır tabakasının adı nedir?,Troposfer,Stratosfer,Mezosfer,Termosfer,A,"Troposfer, Dünya atmosferinin en alt tabakasıdır",Hard
71,Technology,API ne anlama geliyor?,Uygulama Programlama Arayüzü,Otomatik Programlama Arayüzü,Gelişmiş Programlama Arayüzü,Uygulamalı Programlama Arayüzü,A,"API, Uygulama Programlama Arayüzü anlamına gelir",Hard
72,Art,Gerçekçi temsil yerine duygusal ifadeyi öne çıkaran sanat akımı hangisidir?,Gerçekçilik,İzlenimcilik,Ekspresyonizm,Kübizm,C,Gerçekçi tasvirden ziyade duygusal ifadeye odaklanan Ekspresyonizm,Hard
73,Science,Güçlü nükleer kuvveti ileten parçacığın adı nedir?,Foton,Gluon,W bozonu,Z bozonu,B,Gluonlar güçlü nükleer kuvvetin kuvvet taşıyıcılarıdır,Hard
74,Math,2x2 matrisinin [[a b] [c d]] determinantı nedir?,reklam-bc,ac-bd,ab-cd,reklam+bc,A,2x2 matrisinin determinantı ad-bc'dir,Hard
75,Animals,Amfibiler hangi sınıfa aittir?,Memeliler,Sürüngenler,Amfibiler,Aves,C,Amfibiler Amfibi sınıfına aittir,Easy
76,Science,Demirin kimyasal sembolü nedir?,İr,Fe,İçinde,Fr,B,Demirin kimyasal sembolü Latince ferrum kelimesinden gelen Fe'dir.,Easy
77,Sports,Amerikan futbolunda bir touchdown kaç puan değerindedir?,5,6,7,8,B,Amerikan futbolunda bir gol 6 puan değerindedir,Easy
78,Math,15 × 4 nedir?,45,50,55,60,D,15'in 4 ile çarpımı 60'a eşittir,Easy
79,Science,Deniz seviyesinde suyun kaynama noktası nedir?,90°C,95°C,100°C,105°C,C,Su deniz seviyesinde 100°C'de (212°F) kaynar,Easy
80,Art,"""Son Akşam Yemeği"" tablosunu kim çizmiştir?",Michelangelo,Leonardo da Vinci,Raphael,Donatello,B,"Leonardo da Vinci, Son Akşam Yemeği'ni 1495 ile 1498 yılları arasında resmetti.",Easy
81,Technology,RAM ne anlama geliyor?,Rastgele Erişimli Bellek,Hızlı Erişim Belleği,Okuma Erişim Belleği,Gerçek Erişim Belleği,A,"RAM, Rastgele Erişimli Bellek anlamına gelir",Medium
82,Science,Hava olaylarını inceleyen bilim dalına ne ad verilir?,Jeoloji,Meteoroloji,İklimbilim,Astronomi,B,"Meteoroloji, hava ve atmosfer koşullarının incelenmesidir",Medium
83,Animals,Bir filin gebelik süresi ne kadardır?,12 ay,18 ay,22 ay,24 ay,C,Fillerin gebelik süresi yaklaşık 22 aydır,Medium
84,Science,Oksijenin atom numarası nedir?,6,7,8,9,C,Oksijenin atom numarası 8'dir,Medium
85,Sports,"Teniste ""aşk"" terimi ne anlama gelir?",Sıfır,Bir,İki,Üç,A,Teniste puanlamada aşk sıfır puan demektir,Medium
86,Math,Yarıçapı 7 olan bir çemberin çevresi kaçtır?,7π,14π,21π,49π,B,Çevre = 2πr = 2π(7) = 14π,Medium
87,Science,Bitkilerin kendi besinlerini üretme sürecine ne ad verilir?,Solunum,Fotosentez,Terleme,Döllenme,B,"Fotosentez, bitkilerin güneş ışığını kullanarak yiyecek ürettiği süreçtir",Medium
88,Technology,GPS ne anlama geliyor?,Küresel Konumlandırma Sistemi,Genel Konumlandırma Sistemi,Küresel Konum Sistemi,Coğrafi Konumlandırma Sistemi,A,"GPS, Küresel Konumlandırma Sistemi anlamına gelir",Medium
89,Art,"""İnci Küpeli Kız"" tablosunu hangi sanatçı yapmıştır?",Jan Vermeer,Rembrandt,Van Gogh,Monet,A,"Johannes Vermeer, İnci Küpeli Kız tablosunu 1665 civarında çizdi",Medium
90,Science,Işığın büyük kütleli cisimlerin etrafından dolanmasıyla oluşan etkinin adı nedir?,Doppler Etkisi,Fotoelektrik Etki,Yerçekimsel Merceklenme,Compton Etkisi,C,"Kütle çekimsel merceklenme, ışığın büyük kütleli nesnelerin etrafında bükülmesidir",Hard
91,Math,3+4i'nin karmaşık eşleniği nedir?,3-4i,3+4i,-3-4i,-3+4i,A,"a+bi'nin karmaşık eşleniği a-bi'dir, dolayısıyla 3+4i, 3-4i olur",Hard
92,Science,Evrende en bol bulunan element hangisidir?,Hidrojen,Helyum,Karbon,Oksijen,A,"Hidrojen, gözlemlenebilir evrenin kütlesinin yaklaşık %75'ini oluşturuyor",Easy
93,Math,3 × 3 × 3 nedir?,9,18,27,36,C,3'ün küpü (3³) 27'ye eşittir,Easy
94,Science,Penguen ne tür bir hayvandır?,Memeli,Kuş,Sürüngen,Balık,B,Penguenler soğuk iklimlerde yaşayan uçamayan kuşlardır,Easy
95,Sports,Bowling'de mükemmel bir oyun kaç vuruşla olur?,10,11,12,13,C,Bowling'de mükemmel bir oyun 12 ardışık vuruştan oluşur,Easy
96,Animals,Denizatları hangi üreme türünü sergiler?,Yumurtlayan,Canlı doğuran,Ovovivipar,Partenogenez,C,Denizatları yumurta taşıyan erkeklerden oluşan yumurtlayarak doğururlar,Easy
97,Science,Sodyumun periyodik tablodaki simgesi nedir?,Bu yüzden,SD,Na,S,C,Sodyumun sembolü Latince natrium kelimesinden gelir.,Easy
98,Technology,Wi-Fi ne anlama geliyor?,Kablosuz Sadakat,Geniş Sadakat,Web Sadakati,Kablolu Sadakat,A,"Wi-Fi, Kablosuz Bağlantı anlamına gelir",Medium
99,Math,Uzunluğu 8 ve genişliği 5 olan bir dikdörtgenin alanı nedir?,13,35,40,45,C,Dikdörtgenin alanı = uzunluk × genişlik = 8 × 5 = 40,Medium
100,Science,Böcekleri inceleyen bilim dalına ne ad verilir?,Entomoloji,Ornitoloji,Herpetoloji,İhtiyoloji,A,Entomoloji böceklerin bilimsel çalışmasıdır,Medium
101,Art,"""Çığlık"" tablosunu hangi sanatçı çizmiştir?",Vincent van Gogh,Pablo Picasso,Edvard Munch,Claude Monet,C,"Edvard Munch, Çığlık tablosunu 1893'te çizdi",Medium
102,Science,Karbondioksitin kimyasal formülü nedir?,CO,CO2,C2O,C2O2,B,Karbondioksitin kimyasal formülü CO2'dir,Medium
103,Sports,Bir hokey maçında kaç periyot vardır?,2,3,4,5,B,Bir hokey oyunu üç periyottan oluşur,Medium
104,Animals,En hızlı deniz hayvanı hangisidir?,Yunus,Köpek balığı,Yelken balığı,Ton balığı,C,"Yelken balığı, saatte 68 mil hıza ulaşan en hızlı deniz hayvanıdır",Medium
105,Math,2⁴ nedir?,8,12,16,20,C,2'nin 4'üncü kuvveti 16'ya eşittir,Medium
106,Science,İnsan vücudundaki en sert kemik hangisidir?,Uyluk kemiği,Kafatası,Çene kemiği,Kaval kemiği,C,"Çene kemiği (mandibula), insan vücudundaki en sert kemiktir",Medium
107,Technology,HTTP ne anlama geliyor?,Hiper Metin Aktarım Protokolü,Yüksek Transfer Metni Protokolü,Hiper Metin Taşıma Protokolü,Yüksek Metin Aktarım Protokolü,A,"HTTP, HyperText Transfer Protocol'ün kısaltmasıdır",Medium
108,Art,Claude Monet hangi sanat akımıyla ilişkilendirilmiştir?,Kübizm,İzlenimcilik,Ekspresyonizm,Gerçeküstücülük,B,"Claude Monet, Fransız Empresyonist resminin kurucularından biriydi",Medium
109,Science,Işığın farklı ortamlardan geçerken yön değiştirmesi olayı nedir?,Refleks,Refraksiyon,Kırınım,Parazit yapmak,B,"Kırılma, ışığın farklı ortamlardan geçerken bükülmesidir",Hard
110,Math,"İlk terimi a ve oranı r olan sonsuz bir geometrik serinin toplamı, |r| < 1 olmak üzere kaçtır?",a/(1-r),a/(1+r),a(1-r),a(1+r),A,"Sonsuz bir geometrik serinin toplamı, |r| < 1 olduğunda a/(1-r) olur",Hard
111,Science,Kararsız atom çekirdeklerinin enerji açığa çıkardığı sürecin adı nedir?,Füzyon,Fisyon,Radyoaktif bozunma,İyonizasyon,C,"Radyoaktif bozunma, kararsız çekirdeklerin enerji açığa çıkardığı süreçtir",Hard
112,Math,[[3 1] [0 3]] matrisinin özdeğeri nedir?,1,2,3,4,C,Bu üst üçgen matrisin özdeğerleri köşegen girişleridir: 3,Hard
113,Science,Diğer parçacıklara kütle kazandıran teorik parçacığın adı nedir?,Bozon,Higgs bozonu,Lepton,Kuark,B,Higgs bozonunun diğer parçacıklara kütle kazandırdığı teorize ediliyor,Hard
114,Art,"""Düşünen Adam"" heykelini kim yapmıştır?",Michelangelo,Auguste Rodin,Donatello,Bernini,B,"Auguste Rodin, Düşünen Adam heykelini ilk olarak 1880'de yaptı",Hard
115,Technology,HTTPS ne anlama geliyor?,HyperText Transfer Protocol Güvenli,Yüksek Transfer Metin Protokolü Güvenli,HyperText Taşıma Protokolü Güvenli,Hiper Metin Aktarım Protokolü Standardı,A,"HTTPS, HyperText Transfer Protocol Secure'un kısaltmasıdır",Hard
116,Science,Parçacıkların aynı anda birden fazla durumda bulunabildiği etkinin adı nedir?,Üst üste binme,Dolaşıklık,Belirsizlik,Tünelcilik,A,Kuantum süperpozisyonu parçacıkların aynı anda birden fazla durumda bulunmasına olanak tanır,Hard
117,Math,Sin(at)'ın Laplace dönüşümü nedir?,a/(s²+a²),s/(s²+a²),1/(s²+a²),a²/(s²+a²),A,sin(at)'ın Laplace dönüşümü a/(s²+a²)'dır,Hard
118,Science,Dünya'nın kabuğu ile manto arasındaki sınırın adı nedir?,Moho,Conrad süreksizliği,Gutenberg kopukluğu,Lehmann süreksizliği,A,"Mohorovičić süreksizliği (Moho), kabuğu ve mantoyu ayırır",Hard
119,Art,Jackson Pollock hangi sanat akımına mensuptur?,Kübizm,Gerçeküstücülük,Soyut Ekspresyonizm,Pop art,C,"Jackson Pollock, Soyut Ekspresyonizm'in önemli bir figürüydü",Hard
120,Animals,Uçabilen tek memeli hayvan hangisidir?,Yarasa,Uçan sincap,Şeker planörü,Uçan lemur,A,Yarasalar gerçek anlamda sürekli uçuş yeteneğine sahip tek memelilerdir,Easy
121,Science,Soluduğumuz havanın çoğunluğunu hangi gaz oluşturur?,Oksijen,Karbondioksit,Azot,Argon,C,"Azot, soluduğumuz havanın yaklaşık %78'ini oluşturur",Easy
122,Math,100 ÷ 4 kaçtır?,20,25,30,35,B,100 bölü 4 eşittir 25,Easy
123,Sports,Standart bir beyzbol oyununda kaç vuruş vardır?,7,8,9,10,C,Standart bir beyzbol oyununda dokuz vuruş vardır,Easy
124,Science,Güneş'e en yakın gezegen hangisidir?,Merkür,Venüs,Toprak,Mars,A,Merkür Güneş'e en yakın gezegendir,Easy
125,Art,Kırmızı ve mavinin karışımıyla hangi renk elde edilir?,Mor,Yeşil,Turuncu,Sarı,A,Kırmızı ve mavi birleşerek moru oluşturur,Easy
126,Technology,PC kısaltması neyi ifade ediyor?,Kişisel Bilgisayar,Kamu Bilgisayarı,Özel Bilgisayar,Taşınabilir Bilgisayar,A,"PC, Kişisel Bilgisayar anlamına gelir",Easy
127,Animals,Dünyanın en uzun hayvanı hangisidir?,Fil,Zürafa,Devekuşu,Geyik,B,Zürafa dünyanın en uzun hayvanıdır,Easy
128,Science,Gümüşün kimyasal sembolü nedir?,Si,Tarım,Sl,Sayın,B,Gümüşün kimyasal sembolü Latince argentum kelimesinden gelen Ag'dir.,Easy
129,Math,6 × 7 nedir?,35,40,42,49,C,6 ile 7'nin çarpımı 42'ye eşittir,Easy
130,Sports,Bir dart atışıyla alınabilecek en yüksek puan nedir?,15,20,25,30,B,Üçlü 20 bölümünde bir dartla alınabilecek maksimum puan 20'dir,Easy
131,Science,Yıldızları ve gezegenleri inceleyen bilim dalına ne ad verilir?,Jeoloji,Biyoloji,Astronomi,Meteoroloji,C,Astronomi gök cisimlerinin ve fenomenlerinin incelenmesidir,Medium
132,Math,Kenar uzunluğu 6 olan karenin çevresi kaçtır?,18,20,24,30,C,Karenin çevresi = 4 × kenar uzunluğu = 4 × 6 = 24,Medium
133,Science,Bir tırtılın kelebeğe dönüşme sürecine ne ad verilir?,Evrim,Başkalaşım,Uyum,Mutasyon,B,"Metamorfoz, tırtıldan kelebeğe dönüşüm sürecidir",Medium
134,Art,"""Guernica"" tablosunu hangi sanatçı yapmıştır?",Salvador Dali,Pablo Picasso,Joan Miró,Francisco Goya,B,"Pablo Picasso, Guernica'yı 1937'de resmetti",Medium
135,Science,pH ölçeği neyi ölçmek için kullanılır?,Sıcaklık,Basınç,Asitlik,Yoğunluk,C,pH ölçeği bir çözeltinin asitliğini veya alkaliliğini ölçer,Medium
136,Sports,Amerikan futbolunda bir saha golü kaç puan değerindedir?,1,2,3,6,C,Amerikan futbolunda bir saha golü 3 puan değerindedir,Medium
137,Animals,Kanguru yavrusuna ne ad verilir?,Yavru,Buzağı,Joey,Kit,C,Yavru kanguruya joey denir,Medium
138,Math,150'nin %20'si kaçtır?,25,30,35,40,B,"150'nin %20'si = 0,20 × 150 = 30",Medium
139,Science,Protein katlama kalitesinin kontrolünden hangi organel sorumludur?,Ribozom,Endoplazmik retikulum,Golgi aygıtı,Lizozom,B,"ER, proteinin uygun şekilde katlanmasını sağlayan şaperonlara sahiptir",Medium
140,Technology,DVD ne anlama geliyor?,Dijital Video Disk,Dijital Çok Yönlü Disk,Hem A hem de B,Dijital Görsel Disk,C,"DVD, Dijital Video Disk veya Dijital Çok Yönlü Disk anlamına gelebilir",Medium
141,Art,Auguste Rodin hangi sanat türüyle ünlüdür?,Tablo,Heykel,Mimarlık,Fotoğrafçılık,B,Auguste Rodin ünlü bir Fransız heykeltıraştı,Medium
142,Science,Güneş sistemimizin içinde bulunduğu galaksinin adı nedir?,Andromeda,Samanyolu,Girdap,Üçgen,B,Güneş sistemimiz Samanyolu galaksisinde yer almaktadır,Medium
143,Math,Dizideki bir sonraki sayı nedir: 2 4 8 16 32?,48,56,64,72,C,"Bu, her terimin iki katına çıktığı geometrik bir dizidir: 32 × 2 = 64",Medium
144,Science,Bitkilerin yaprakları aracılığıyla su buharını dışarı atma süreci nasıldır?,Fotosentez,Solunum,Terleme,Çimlenme,C,"Terleme, bitki yapraklarından su buharı salınımı sürecidir",Medium
145,Technology,URL ne anlama geliyor?,Tekdüzen Kaynak Bulucu,Evrensel Kaynak Bulucu,Tekdüzen Referans Bulucu,Evrensel Referans Bulucu,A,"URL, Tekdüzen Kaynak Bulucu anlamına gelir",Medium
146,Sports,Hangi spor dalında smaç basardınız?,Tenis,Basketbol,Voleybol,Badminton,B,Basketbolda smaç yapılır,Medium
147,Animals,Penguenlerin doğal olarak yaşadığı tek kıta hangisidir?,Antarktika,Arktik,Avustralya,Güney Amerika,A,Penguenler doğal olarak yalnızca Antarktika ve çevresindeki bölgelerde yaşarlar,Medium
148,Science,Yer çekiminin sonsuz şiddette olduğu teorik noktanın adı nedir?,Tekillik,Olay ufku,Solucan deliği,Kara delik,A,"Tekillik, kütle çekim kuvvetlerinin sonsuz hale geldiği bir noktadır",Hard
149,Math,Muhafazakar bir vektör alanının rotasyoneli nedir?,Sıfır,Bir,Sonsuzluk,Tanımsız,A,Muhafazakar bir vektör alanının rotasyoneli her zaman sıfırdır,Hard
150,Science,Işığın yarı iletkenlerde elektron-delik çiftleri oluşturması sürecinin adı nedir?,Fotoelektrik etki,Fotovoltaik etki,Fotoemisyon,Fotoiletkenlik,B,"Fotovoltaik etki, yarı iletkenlerde elektron-delik çiftleri oluşturan ışığı tanımlar",Hard
